Elo,Pts/Pld,GfA,GaA
1583,2.0555555555555554,1.38,1.05
1595,2.0,2.61,1.22
1497,1.7894736842105263,1.63,1.26
1522,1.7222222222222223,1.50,0.83
1526,1.6666666666666667,1.88,1.38
1482,1.6666666666666667,1.66,1.27
1484,1.5789473684210527,1.57,1.26
1455,1.5555555555555556,2.33,1.66
1464,1.4444444444444444,1.72,1.55
1435,1.3888888888888888,1.27,1.50
1418,1.263157894736842,1.10,1.68
1433,1.1578947368421053,1.31,1.26
1439,1.1578947368421053,1.31,1.78
1433,1.0,1.22,1.55
1352,0.7368421052631579,1.10,1.84
1398,0.7222222222222222,1.00,1.50
1399,0.6842105263157895,0.94,1.84
1377,0.6842105263157895,0.89,1.84
