HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
2.33,1.66,1.5555555555555556,1455,1.27,1.83,1.0555555555555556,1439,0
1.88,1.38,1.6666666666666667,1526,1.38,1.05,2.0555555555555554,1583,0
0.88,1.83,0.7222222222222222,1377,1.27,1.50,1.3888888888888888,1435,2
1.38,1.27,1.2222222222222223,1433,1.50,0.83,1.7222222222222223,1522,0
1.66,1.22,1.8888888888888888,1497,1.11,1.94,0.6111111111111112,1352,0
0.94,1.94,0.5555555555555556,1399,1.72,1.55,1.4444444444444444,1464,2
1.22,1.55,1.0,1433,1.66,1.27,1.6666666666666667,1482,2
1.00,1.50,0.7222222222222222,1398,1.16,1.72,1.3333333333333333,1418,1
2.61,1.22,2.0,1595,1.55,1.27,1.5,1484,2
2.61,1.22,2.0,1595,1.11,1.94,0.6111111111111112,1352,0
1.00,1.50,0.7222222222222222,1398,1.72,1.55,1.4444444444444444,1464,1
0.94,1.94,0.5555555555555556,1399,1.66,1.27,1.6666666666666667,1482,1
1.38,1.27,1.2222222222222223,1433,1.27,1.83,1.0555555555555556,1439,1
1.50,0.83,1.7222222222222223,1522,1.55,1.27,1.5,1484,0
1.66,1.22,1.8888888888888888,1497,1.16,1.72,1.3333333333333333,1418,0
2.33,1.66,1.5555555555555556,1455,1.27,1.50,1.3888888888888888,1435,0
1.88,1.38,1.6666666666666667,1526,1.22,1.55,1.0,1433,2
0.88,1.83,0.7222222222222222,1377,1.38,1.05,2.0555555555555554,1583,2
1.55,1.27,1.5,1484,1.66,1.22,1.8888888888888888,1497,2
1.11,1.94,0.6111111111111112,1352,1.50,0.83,1.7222222222222223,1522,1
1.27,1.50,1.3888888888888888,1435,1.88,1.38,1.6666666666666667,1526,2
1.22,1.55,1.0,1433,1.00,1.50,0.7222222222222222,1398,1
1.66,1.27,1.6666666666666667,1482,0.88,1.83,0.7222222222222222,1377,0
1.16,1.72,1.3333333333333333,1418,1.38,1.27,1.2222222222222223,1433,2
1.27,1.83,1.0555555555555556,1439,0.94,1.94,0.5555555555555556,1399,1
1.72,1.55,1.4444444444444444,1464,2.61,1.22,2.0,1595,2
1.38,1.05,2.0555555555555554,1583,2.33,1.66,1.5555555555555556,1455,0
1.00,1.50,0.7222222222222222,1398,1.66,1.27,1.6666666666666667,1482,2
1.11,1.94,0.6111111111111112,1352,1.55,1.27,1.5,1484,1
0.88,1.83,0.7222222222222222,1377,1.88,1.38,1.6666666666666667,1526,2
1.50,0.83,1.7222222222222223,1522,1.27,1.83,1.0555555555555556,1439,0
1.66,1.22,1.8888888888888888,1497,1.27,1.50,1.3888888888888888,1435,1
2.61,1.22,2.0,1595,1.16,1.72,1.3333333333333333,1418,0
0.94,1.94,0.5555555555555556,1399,1.38,1.05,2.0555555555555554,1583,2
2.33,1.66,1.5555555555555556,1455,1.22,1.55,1.0,1433,1
1.38,1.27,1.2222222222222223,1433,1.72,1.55,1.4444444444444444,1464,1
1.38,1.05,2.0555555555555554,1583,1.50,0.83,1.7222222222222223,1522,1
1.72,1.55,1.4444444444444444,1464,1.66,1.22,1.8888888888888888,1497,1
