Elo,Pts/Pld,GfA,GaA
1853,2.5,2.50,1.00
1947,2.1666666666666665,2.16,1.05
1752,2.0,2.05,1.00
1726,1.7222222222222223,1.72,1.00
1739,1.6666666666666667,2.05,1.33
1668,1.5555555555555556,1.55,1.33
1661,1.5,1.61,1.55
1724,1.3888888888888888,1.83,1.44
1674,1.3888888888888888,1.61,1.61
1643,1.3333333333333333,1.11,1.33
1711,1.3333333333333333,1.44,1.66
1721,1.1666666666666667,1.22,1.38
1614,1.1666666666666667,1.22,1.55
1547,1.1666666666666667,1.16,1.88
1609,0.8333333333333334,1.44,1.72
1604,0.7777777777777778,0.77,2.11
1558,0.6111111111111112,0.94,2.00
1502,0.6111111111111112,0.83,2.27
