HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.88,1.35,1.4705882352941178,1730,1.00,1.29,1.2352941176470589,1634,1
1.47,1.70,0.8823529411764706,1621,1.58,1.29,1.6470588235294117,1674,2
0.70,2.05,0.8235294117647058,1612,1.17,1.41,1.0588235294117647,1716,2
1.82,1.00,1.8235294117647058,1732,1.64,1.70,1.2941176470588236,1667,0
0.82,2.23,0.6470588235294118,1510,1.23,1.47,1.2352941176470589,1620,2
1.52,1.70,1.411764705882353,1720,1.52,1.58,1.411764705882353,1653,0
1.00,2.05,0.6470588235294118,1564,1.11,1.94,1.0588235294117647,1536,2
2.00,1.35,1.588235294117647,1733,2.11,1.05,2.1176470588235294,1942,2
2.58,1.05,2.4705882352941178,1847,2.11,1.05,1.9411764705882353,1743,0
1.64,1.70,1.2941176470588236,1667,1.88,1.35,1.4705882352941178,1730,1
1.17,1.41,1.0588235294117647,1716,1.52,1.70,1.411764705882353,1720,2
1.00,1.29,1.2352941176470589,1634,2.00,1.35,1.588235294117647,1733,1
1.23,1.47,1.2352941176470589,1620,1.00,2.05,0.6470588235294118,1564,1
2.11,1.05,2.1176470588235294,1942,1.82,1.00,1.8235294117647058,1732,0
1.58,1.29,1.6470588235294117,1674,0.70,2.05,0.8235294117647058,1612,0
2.11,1.05,1.9411764705882353,1743,0.82,2.23,0.6470588235294118,1510,0
1.52,1.58,1.411764705882353,1653,1.47,1.70,0.8823529411764706,1621,1
1.11,1.94,1.0588235294117647,1536,2.58,1.05,2.4705882352941178,1847,0
1.82,1.00,1.8235294117647058,1732,1.00,1.29,1.2352941176470589,1634,0
2.00,1.35,1.588235294117647,1733,1.52,1.70,1.411764705882353,1720,0
0.70,2.05,0.8235294117647058,1612,1.52,1.58,1.411764705882353,1653,0
1.88,1.35,1.4705882352941178,1730,2.11,1.05,1.9411764705882353,1743,1
1.00,2.05,0.6470588235294118,1564,2.11,1.05,2.1176470588235294,1942,2
