HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
2.11,1.00,1.8888888888888888,1480,1.11,2.27,0.9444444444444444,1286,0
1.11,1.94,0.8333333333333334,1251,0.55,2.38,0.16666666666666666,1213,0
1.77,0.50,2.5,1642,1.50,1.38,1.2777777777777777,1468,0
1.77,1.00,1.7222222222222223,1450,1.27,1.22,1.5,1307,1
0.55,2.38,0.16666666666666666,1213,1.11,1.47,0.9411764705882353,1332,1
1.11,2.27,0.9444444444444444,1286,1.77,0.50,2.5,1642,2
1.27,1.22,1.5,1307,2.11,1.00,1.8888888888888888,1480,2
1.82,0.94,1.9411764705882353,1556,1.77,1.00,1.7222222222222223,1450,0
1.50,1.38,1.2777777777777777,1468,1.11,1.94,0.8333333333333334,1251,0
1.77,0.50,2.5,1642,1.27,1.22,1.5,1307,0
0.55,2.38,0.16666666666666666,1213,1.50,1.38,1.2777777777777777,1468,2
2.11,1.00,1.8888888888888888,1480,1.82,0.94,1.9411764705882353,1556,2
1.77,1.00,1.7222222222222223,1450,1.11,1.47,0.9411764705882353,1332,1
1.11,1.94,0.8333333333333334,1251,1.11,2.27,0.9444444444444444,1286,2
1.77,1.00,1.7222222222222223,1450,2.11,1.00,1.8888888888888888,1480,1
1.50,1.38,1.2777777777777777,1468,1.11,1.47,0.9411764705882353,1332,1
1.82,0.94,1.9411764705882353,1556,1.77,0.50,2.5,1642,0
1.27,1.22,1.5,1307,1.11,1.94,0.8333333333333334,1251,2
0.55,2.38,0.16666666666666666,1213,1.11,2.27,0.9444444444444444,1286,2
1.77,1.00,1.7222222222222223,1450,1.77,0.50,2.5,1642,2
1.11,1.94,0.8333333333333334,1251,1.82,0.94,1.9411764705882353,1556,2
1.11,1.47,0.9411764705882353,1332,2.11,1.00,1.8888888888888888,1480,2
1.50,1.38,1.2777777777777777,1468,1.11,2.27,0.9444444444444444,1286,0
0.55,2.38,0.16666666666666666,1213,1.27,1.22,1.5,1307,2
1.82,0.94,1.9411764705882353,1556,0.55,2.38,0.16666666666666666,1213,0
1.11,2.27,0.9444444444444444,1286,1.11,1.47,0.9411764705882353,1332,1
2.11,1.00,1.8888888888888888,1480,1.77,0.50,2.5,1642,2
1.27,1.22,1.5,1307,1.50,1.38,1.2777777777777777,1468,1
1.77,1.00,1.7222222222222223,1450,1.11,1.94,0.8333333333333334,1251,0
1.11,1.47,0.9411764705882353,1332,1.77,0.50,2.5,1642,2
1.50,1.38,1.2777777777777777,1468,1.82,0.94,1.9411764705882353,1556,1
1.11,1.94,0.8333333333333334,1251,2.11,1.00,1.8888888888888888,1480,1
1.11,2.27,0.9444444444444444,1286,1.27,1.22,1.5,1307,2
0.55,2.38,0.16666666666666666,1213,1.77,1.00,1.7222222222222223,1450,2
1.11,1.47,0.9411764705882353,1332,1.27,1.22,1.5,1307,2
1.77,1.00,1.7222222222222223,1450,1.50,1.38,1.2777777777777777,1468,0
0.55,2.38,0.16666666666666666,1213,2.11,1.00,1.8888888888888888,1480,2
1.11,1.94,0.8333333333333334,1251,1.77,0.50,2.5,1642,2
1.11,2.27,0.9444444444444444,1286,1.82,0.94,1.9411764705882353,1556,2
0.55,2.38,0.16666666666666666,1213,1.77,0.50,2.5,1642,2
1.50,1.38,1.2777777777777777,1468,2.11,1.00,1.8888888888888888,1480,2
1.11,1.47,0.9411764705882353,1332,1.11,1.94,0.8333333333333334,1251,0
1.27,1.22,1.5,1307,1.82,0.94,1.9411764705882353,1556,0
1.11,2.27,0.9444444444444444,1286,1.77,1.00,1.7222222222222223,1450,0
0.55,2.38,0.16666666666666666,1213,1.11,1.94,0.8333333333333334,1251,2
1.82,0.94,1.9411764705882353,1556,1.11,1.47,0.9411764705882353,1332,1
1.27,1.22,1.5,1307,1.77,1.00,1.7222222222222223,1450,2
1.11,2.27,0.9444444444444444,1286,2.11,1.00,1.8888888888888888,1480,2
1.50,1.38,1.2777777777777777,1468,1.77,0.50,2.5,1642,1
1.11,1.94,0.8333333333333334,1251,1.50,1.38,1.2777777777777777,1468,2
1.77,0.50,2.5,1642,1.11,2.27,0.9444444444444444,1286,0
2.11,1.00,1.8888888888888888,1480,1.27,1.22,1.5,1307,2
1.77,1.00,1.7222222222222223,1450,1.82,0.94,1.9411764705882353,1556,0
