HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.10,1.25,1.2,1370,0.80,1.85,0.8,1279,0
1.15,1.35,1.1,1358,2.45,0.90,2.35,1582,2
1.30,1.85,1.35,1345,2.50,0.95,2.2,1571,2
1.30,1.30,1.45,1345,1.40,1.45,1.2,1402,0
1.60,1.40,1.5,1484,1.00,1.60,0.95,1282,2
1.15,1.30,1.4,1370,0.85,1.65,0.8,1275,0
1.30,1.15,1.35,1380,1.35,1.25,1.4,1387,2
1.40,1.45,1.2,1402,1.10,1.25,1.2,1370,0
0.85,1.65,0.8,1275,1.60,1.40,1.5,1484,2
2.45,0.90,2.35,1582,1.30,1.30,1.45,1345,0
1.00,1.60,0.95,1282,1.15,1.30,1.4,1370,2
1.35,1.25,1.4,1387,1.30,1.85,1.35,1345,2
0.80,1.85,0.8,1279,1.15,1.35,1.1,1358,1
2.50,0.95,2.2,1571,1.30,1.15,1.35,1380,0
1.10,1.25,1.2,1370,0.85,1.65,0.8,1275,0
1.15,1.35,1.1,1358,1.40,1.45,1.2,1402,2
1.15,1.30,1.4,1370,2.50,0.95,2.2,1571,2
1.30,1.85,1.35,1345,2.45,0.90,2.35,1582,2
1.60,1.40,1.5,1484,0.80,1.85,0.8,1279,0
1.30,1.15,1.35,1380,1.00,1.60,0.95,1282,0
1.30,1.30,1.45,1345,1.35,1.25,1.4,1387,2
1.10,1.25,1.2,1370,1.30,1.85,1.35,1345,2
1.15,1.35,1.1,1358,1.60,1.40,1.5,1484,2
1.40,1.45,1.2,1402,1.30,1.15,1.35,1380,2
2.45,0.90,2.35,1582,2.50,0.95,2.2,1571,0
1.00,1.60,0.95,1282,1.30,1.30,1.45,1345,1
0.80,1.85,0.8,1279,1.15,1.30,1.4,1370,2
0.85,1.65,0.8,1275,1.35,1.25,1.4,1387,1
1.15,1.30,1.4,1370,1.40,1.45,1.2,1402,1
1.30,1.15,1.35,1380,1.30,1.30,1.45,1345,0
2.50,0.95,2.2,1571,0.85,1.65,0.8,1275,0
0.80,1.85,0.8,1279,1.00,1.60,0.95,1282,0
1.35,1.25,1.4,1387,2.45,0.90,2.35,1582,1
