Elo,Pts/Pld,GfA,GaA
1527,1.9655172413793103,1.68,1.06
1543,1.8620689655172413,1.86,1.31
1522,1.7586206896551724,1.65,1.06
1588,1.7857142857142858,2.03,1.25
1539,1.6785714285714286,1.10,0.71
1518,1.6428571428571428,1.42,1.25
1499,1.5714285714285714,1.25,1.03
1445,1.4827586206896552,1.37,1.41
1465,1.4482758620689655,1.44,1.13
1532,1.4482758620689655,1.82,1.58
1540,1.4137931034482758,1.37,1.20
1471,1.3793103448275863,1.48,1.24
1490,1.3793103448275863,1.41,1.31
1448,1.3928571428571428,1.21,1.39
1515,1.3103448275862069,1.13,1.27
1493,1.2413793103448276,1.55,1.55
1443,1.25,1.17,1.60
1485,1.2142857142857142,1.53,1.39
1435,1.0357142857142858,1.21,1.57
1367,1.0,1.00,1.51
1348,0.8620689655172413,0.96,1.65
1379,0.8275862068965517,1.10,1.51
1322,0.7931034482758621,0.65,1.48
1351,0.6206896551724138,0.79,1.72
