Elo,Pts/Pld,GfA,GaA
1976,2.4074074074074074,2.74,0.74
1940,2.5,2.26,0.57
1903,2.3076923076923075,2.07,0.96
1871,1.9615384615384615,2.00,1.34
1835,1.9230769230769231,2.03,1.42
1816,1.9230769230769231,1.73,1.11
1666,1.52,1.32,1.28
1665,1.4230769230769231,1.30,1.30
1665,1.2222222222222223,1.33,1.44
1670,1.2692307692307692,1.23,1.50
1667,1.2692307692307692,1.42,1.80
1681,1.2307692307692308,1.19,1.30
1662,1.0384615384615385,1.03,1.30
1609,1.0384615384615385,1.07,1.50
1645,1.0384615384615385,1.11,1.80
1577,0.9615384615384616,0.92,1.80
1643,0.96,0.84,1.32
1633,0.9230769230769231,1.07,1.69
1564,0.6538461538461539,0.96,2.23
1502,0.4230769230769231,0.53,1.84
