HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.00,1.55,1.1,1506,1.65,1.20,1.7,1721,1
1.55,1.15,1.8,1634,1.68,1.52,1.4736842105263157,1624,0
1.42,1.47,1.368421052631579,1543,1.30,1.35,1.15,1550,0
0.90,1.55,0.75,1585,0.75,0.90,1.5,1602,1
0.80,1.80,0.7,1488,1.45,1.35,1.45,1604,0
1.10,1.26,1.0526315789473684,1525,1.15,1.15,1.3157894736842106,1608,2
1.00,1.55,1.1,1506,1.60,1.20,1.45,1540,2
1.30,1.35,1.15,1550,1.45,1.35,1.45,1604,2
1.68,1.52,1.4736842105263157,1624,0.90,1.55,0.75,1585,1
0.89,1.68,0.8947368421052632,1482,1.36,0.84,1.631578947368421,1596,1
0.75,0.90,1.5,1602,1.15,1.15,1.3157894736842106,1608,0
0.80,1.80,0.7,1488,1.55,1.15,1.8,1634,2
0.85,1.70,0.9,1483,2.94,0.55,2.7777777777777777,1899,2
1.65,1.20,1.7,1721,0.80,0.95,1.35,1569,1
1.00,1.40,0.9,1468,1.60,1.00,1.85,1589,2
1.30,1.35,1.15,1550,1.36,0.84,1.631578947368421,1596,0
0.85,1.70,0.9,1483,1.10,1.26,1.0526315789473684,1525,1
1.15,1.15,1.3157894736842106,1608,0.85,1.70,0.9,1483,1
1.60,1.20,1.45,1540,0.75,0.90,1.5,1602,0
1.55,1.15,1.8,1634,0.89,1.68,0.8947368421052632,1482,0
1.45,1.35,1.45,1604,1.42,1.47,1.368421052631579,1543,0
0.80,0.95,1.35,1569,1.00,1.40,0.9,1468,1
2.94,0.55,2.7777777777777777,1899,1.30,1.35,1.15,1550,0
1.36,0.84,1.631578947368421,1596,1.65,1.20,1.7,1721,1
0.90,1.55,0.75,1585,0.80,1.80,0.7,1488,2
1.60,1.00,1.85,1589,1.00,1.55,1.1,1506,2
1.10,1.26,1.0526315789473684,1525,1.68,1.52,1.4736842105263157,1624,1
1.00,1.40,0.9,1468,1.00,1.55,1.1,1506,0
1.42,1.47,1.368421052631579,1543,1.60,1.00,1.85,1589,2
0.75,0.90,1.5,1602,1.55,1.15,1.8,1634,1
1.65,1.20,1.7,1721,0.90,1.55,0.75,1585,0
0.80,0.95,1.35,1569,1.60,1.20,1.45,1540,0
1.60,1.20,1.45,1540,1.00,1.40,0.9,1468,1
1.60,1.00,1.85,1589,0.80,0.95,1.35,1569,1
1.45,1.35,1.45,1604,0.89,1.68,0.8947368421052632,1482,0
0.80,1.80,0.7,1488,0.85,1.70,0.9,1483,2
1.60,1.20,1.45,1540,2.94,0.55,2.7777777777777777,1899,1
0.80,0.95,1.35,1569,1.00,1.55,1.1,1506,2
1.30,1.35,1.15,1550,1.68,1.52,1.4736842105263157,1624,0
1.65,1.20,1.7,1721,1.45,1.35,1.45,1604,2
0.89,1.68,0.8947368421052632,1482,0.80,1.80,0.7,1488,0
1.00,1.40,0.9,1468,1.42,1.47,1.368421052631579,1543,2
1.15,1.15,1.3157894736842106,1608,1.55,1.15,1.8,1634,0
0.75,0.90,1.5,1602,1.10,1.26,1.0526315789473684,1525,1
1.36,0.84,1.631578947368421,1596,1.60,1.00,1.85,1589,2
