HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
2.00,0.45,2.8,1.637,1.80,0.60,2.25,1.618,0
1.45,0.95,1.8,1.446,0.55,1.40,0.65,1.266,0
1.70,0.40,2.15,1.571,0.90,1.45,0.85,1.288,0
0.75,0.75,1.3,1.3960000000000001,0.70,1.25,1.05,1.278,1
0.90,1.50,1.1,1.348,0.40,1.55,0.45,1.229,2
0.75,1.45,1.0,1.321,1.35,0.85,1.7,1.459,0
0.90,1.45,0.85,1.288,0.75,0.75,1.3,1.3960000000000001,1
0.55,1.40,0.65,1.266,1.35,0.85,1.7,1.459,1
0.84,1.21,1.0526315789473684,1.287,1.45,0.95,1.8,1.446,2
1.10,1.00,1.5263157894736843,1.325,0.75,1.45,1.0,1.321,0
0.40,1.55,0.45,1.229,0.84,1.15,1.105263157894737,1.374,2
1.70,0.40,2.15,1.571,2.00,0.45,2.8,1.637,1
1.80,0.60,2.25,1.618,0.90,1.50,1.1,1.348,0
0.70,1.25,1.05,1.278,1.21,1.31,1.368421052631579,1.342,2
0.75,0.75,1.3,1.3960000000000001,1.10,1.00,1.5263157894736843,1.325,2
0.90,1.45,0.85,1.288,1.45,0.95,1.8,1.446,1
2.00,0.45,2.8,1.637,0.75,1.45,1.0,1.321,0
0.90,1.50,1.1,1.348,0.84,1.15,1.105263157894737,1.374,0
1.21,1.31,1.368421052631579,1.342,1.35,0.85,1.7,1.459,2
1.80,0.60,2.25,1.618,0.84,1.21,1.0526315789473684,1.287,0
0.70,1.25,1.05,1.278,0.40,1.55,0.45,1.229,0
1.70,0.40,2.15,1.571,0.55,1.40,0.65,1.266,0
2.00,0.45,2.8,1.637,0.90,1.45,0.85,1.288,0
1.35,0.85,1.7,1.459,0.84,1.21,1.0526315789473684,1.287,1
0.55,1.40,0.65,1.266,1.10,1.00,1.5263157894736843,1.325,0
0.70,1.25,1.05,1.278,1.45,0.95,1.8,1.446,0
0.84,1.15,1.105263157894737,1.374,1.80,0.60,2.25,1.618,2
0.90,1.50,1.1,1.348,1.70,0.40,2.15,1.571,2
1.21,1.31,1.368421052631579,1.342,0.75,0.75,1.3,1.3960000000000001,1
0.75,1.45,1.0,1.321,0.40,1.55,0.45,1.229,0
0.70,1.25,1.05,1.278,1.35,0.85,1.7,1.459,0
0.75,0.75,1.3,1.3960000000000001,1.45,0.95,1.8,1.446,0
0.90,1.45,0.85,1.288,1.21,1.31,1.368421052631579,1.342,0
0.84,1.21,1.0526315789473684,1.287,1.10,1.00,1.5263157894736843,1.325,1
1.70,0.40,2.15,1.571,0.84,1.15,1.105263157894737,1.374,0
2.00,0.45,2.8,1.637,0.90,1.50,1.1,1.348,0
0.75,1.45,1.0,1.321,1.80,0.60,2.25,1.618,2
0.40,1.55,0.45,1.229,0.55,1.40,0.65,1.266,1
0.75,1.45,1.0,1.321,1.70,0.40,2.15,1.571,2
1.10,1.00,1.5263157894736843,1.325,0.70,1.25,1.05,1.278,0
1.35,0.85,1.7,1.459,0.75,0.75,1.3,1.3960000000000001,1
0.55,1.40,0.65,1.266,1.80,0.60,2.25,1.618,2
0.84,1.15,1.105263157894737,1.374,2.00,0.45,2.8,1.637,2
0.90,1.45,0.85,1.288,0.90,1.50,1.1,1.348,1
0.84,1.21,1.0526315789473684,1.287,0.40,1.55,0.45,1.229,0
