Elo,Pts/Pld,GfA,GaA
1966,2.8095238095238093,2.04,0.57
1843,2.2857142857142856,1.85,0.85
1756,1.9047619047619047,1.47,0.71
1702,1.6666666666666667,1.33,0.95
1779,1.619047619047619,1.90,1.38
1643,1.5714285714285714,1.85,1.23
1719,1.5238095238095237,2.23,1.42
1695,1.5238095238095237,1.42,1.19
1671,1.4285714285714286,1.52,1.14
1680,1.4285714285714286,1.28,1.04
1604,1.380952380952381,1.57,1.52
1515,1.3333333333333333,1.00,1.28
1548,1.0952380952380953,1.33,1.80
1528,1.0,0.90,1.42
1532,1.0,0.90,1.42
1523,0.8571428571428571,0.80,1.38
1526,0.8095238095238095,1.19,2.00
1489,0.6666666666666666,0.76,1.61
1475,0.6190476190476191,0.76,2.00
1498,0.5238095238095238,0.80,2.00
