Elo,Pts/Pld,GfA,GaA
1507,2.1333333333333333,1.70,0.80
1485,1.9666666666666666,2.10,1.20
1398,1.9333333333333333,1.50,1.03
1367,1.7666666666666666,1.50,1.10
1339,1.5333333333333334,1.53,1.36
1331,1.4,1.30,1.46
1254,1.4,1.43,1.66
1401,1.3666666666666667,1.53,1.30
1329,1.3333333333333333,1.30,1.26
1280,1.2,1.36,1.60
1256,1.0666666666666667,1.06,1.16
1298,1.0666666666666667,1.13,1.46
1328,1.0333333333333334,1.53,1.60
1288,0.9666666666666667,1.23,1.66
1214,0.9666666666666667,1.00,1.80
1234,0.7666666666666667,1.16,1.90
