HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.55,1.60,1.2,1310,1.00,1.05,1.35,1316,2
1.70,0.85,2.1,1384,1.15,1.85,0.85,1264,0
1.25,1.15,1.55,1311,1.05,1.75,1.05,1236,1
1.65,1.45,1.45,1344,1.60,1.15,1.65,1392,2
1.35,1.15,1.55,1322,1.70,1.45,1.65,1380,1
1.50,1.40,1.25,1278,1.50,1.85,1.0,1295,1
1.20,2.25,0.6,1196,1.70,1.00,1.95,1434,2
1.40,1.20,1.55,1329,1.35,1.50,0.9,1281,0
1.05,1.75,1.05,1236,1.70,0.85,2.1,1384,1
1.20,2.25,0.6,1196,1.60,1.15,1.65,1392,2
1.35,1.50,0.9,1281,1.25,1.15,1.55,1311,1
1.70,1.00,1.95,1434,1.35,1.15,1.55,1322,0
1.15,1.85,0.85,1264,1.50,1.40,1.25,1278,1
1.00,1.05,1.35,1316,1.40,1.20,1.55,1329,0
1.50,1.85,1.0,1295,1.65,1.45,1.45,1344,2
1.70,1.45,1.65,1380,1.55,1.60,1.2,1310,2
1.50,1.40,1.25,1278,1.00,1.05,1.35,1316,2
1.70,0.85,2.1,1384,1.70,1.00,1.95,1434,1
1.15,1.85,0.85,1264,1.05,1.75,1.05,1236,2
1.65,1.45,1.45,1344,1.70,1.45,1.65,1380,1
1.40,1.20,1.55,1329,1.20,2.25,0.6,1196,0
1.25,1.15,1.55,1311,1.50,1.85,1.0,1295,1
1.55,1.60,1.2,1310,1.35,1.15,1.55,1322,1
1.60,1.15,1.65,1392,1.35,1.50,0.9,1281,0
1.35,1.15,1.55,1322,1.40,1.20,1.55,1329,0
1.20,2.25,0.6,1196,1.55,1.60,1.2,1310,2
1.00,1.05,1.35,1316,1.60,1.15,1.65,1392,0
1.50,1.85,1.0,1295,1.15,1.85,0.85,1264,2
1.05,1.75,1.05,1236,1.65,1.45,1.45,1344,0
1.70,1.00,1.95,1434,1.25,1.15,1.55,1311,0
1.35,1.50,0.9,1281,1.70,0.85,2.1,1384,2
1.70,1.45,1.65,1380,1.50,1.40,1.25,1278,0
1.50,1.40,1.25,1278,1.65,1.45,1.45,1344,0
1.55,1.60,1.2,1310,1.70,1.00,1.95,1434,2
1.40,1.20,1.55,1329,1.05,1.75,1.05,1236,0
1.70,0.85,2.1,1384,1.70,1.45,1.65,1380,0
1.60,1.15,1.65,1392,1.50,1.85,1.0,1295,0
1.25,1.15,1.55,1311,1.15,1.85,0.85,1264,0
1.00,1.05,1.35,1316,1.35,1.50,0.9,1281,1
1.35,1.15,1.55,1322,1.20,2.25,0.6,1196,1
1.05,1.75,1.05,1236,1.50,1.40,1.25,1278,2
1.25,1.15,1.55,1311,1.35,1.15,1.55,1322,0
1.70,1.45,1.65,1380,1.60,1.15,1.65,1392,1
1.50,1.85,1.0,1295,1.20,2.25,0.6,1196,0
1.65,1.45,1.45,1344,1.55,1.60,1.2,1310,0
