HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.58,1.76,1.1764705882352942,1461,0.94,1.11,1.1176470588235294,1398,1
1.11,1.76,1.1176470588235294,1384,1.23,0.94,1.6470588235294117,1484,2
0.70,1.41,0.7058823529411765,1405,1.23,1.47,1.0588235294117647,1414,0
1.94,1.05,2.0588235294117645,1717,2.00,0.58,2.5294117647058822,1814,1
0.70,1.11,0.9411764705882353,1430,0.64,1.23,1.0,1430,2
1.52,1.58,1.2352941176470589,1404,2.17,1.00,2.235294117647059,1729,2
1.29,1.00,1.6470588235294117,1509,1.05,1.23,1.6470588235294117,1433,0
1.05,1.82,0.7058823529411765,1357,0.64,1.41,0.7647058823529411,1373,1
1.41,1.64,1.411764705882353,1436,1.88,1.00,2.176470588235294,1648,1
1.23,1.47,1.0588235294117647,1414,1.94,1.05,2.0588235294117645,1717,0
2.00,0.58,2.5294117647058822,1814,1.11,1.76,1.1176470588235294,1384,0
1.05,1.23,1.6470588235294117,1433,1.05,1.82,0.7058823529411765,1357,0
0.94,1.11,1.1176470588235294,1398,0.70,1.41,0.7058823529411765,1405,1
0.64,1.41,0.7647058823529411,1373,1.52,1.58,1.2352941176470589,1404,1
1.88,1.00,2.176470588235294,1648,0.70,1.11,0.9411764705882353,1430,0
2.17,1.00,2.235294117647059,1729,1.58,1.76,1.1764705882352942,1461,0
1.23,0.94,1.6470588235294117,1484,1.29,1.00,1.6470588235294117,1509,0
0.64,1.23,1.0,1430,1.41,1.64,1.411764705882353,1436,0
1.94,1.05,2.0588235294117645,1717,1.23,0.94,1.6470588235294117,1484,0
0.70,1.41,0.7058823529411765,1405,0.64,1.41,0.7647058823529411,1373,1
1.05,1.82,0.7058823529411765,1357,2.00,0.58,2.5294117647058822,1814,2
1.52,1.58,1.2352941176470589,1404,1.23,1.47,1.0588235294117647,1414,2
1.58,1.76,1.1764705882352942,1461,1.05,1.23,1.6470588235294117,1433,2
1.41,1.64,1.411764705882353,1436,2.17,1.00,2.235294117647059,1729,0
1.11,1.76,1.1176470588235294,1384,1.29,1.00,1.6470588235294117,1509,0
1.88,1.00,2.176470588235294,1648,0.64,1.23,1.0,1430,0
0.70,1.11,0.9411764705882353,1430,0.94,1.11,1.1176470588235294,1398,0
2.00,0.58,2.5294117647058822,1814,1.58,1.76,1.1764705882352942,1461,0
1.11,1.76,1.1176470588235294,1384,0.70,1.41,0.7058823529411765,1405,0
1.29,1.00,1.6470588235294117,1509,1.94,1.05,2.0588235294117645,1717,0
2.17,1.00,2.235294117647059,1729,1.88,1.00,2.176470588235294,1648,0
1.23,1.47,1.0588235294117647,1414,0.64,1.23,1.0,1430,0
0.94,1.11,1.1176470588235294,1398,1.52,1.58,1.2352941176470589,1404,2
1.05,1.23,1.6470588235294117,1433,0.70,1.11,0.9411764705882353,1430,0
0.64,1.41,0.7647058823529411,1373,1.41,1.64,1.411764705882353,1436,2
1.23,0.94,1.6470588235294117,1484,1.05,1.82,0.7058823529411765,1357,0
1.94,1.05,2.0588235294117645,1717,1.11,1.76,1.1176470588235294,1384,0
1.58,1.76,1.1764705882352942,1461,1.23,0.94,1.6470588235294117,1484,1
0.64,1.23,1.0,1430,2.17,1.00,2.235294117647059,1729,2
1.52,1.58,1.2352941176470589,1404,2.00,0.58,2.5294117647058822,1814,2
0.70,1.41,0.7058823529411765,1405,1.05,1.23,1.6470588235294117,1433,2
0.70,1.11,0.9411764705882353,1430,1.23,1.47,1.0588235294117647,1414,0
1.05,1.82,0.7058823529411765,1357,1.29,1.00,1.6470588235294117,1509,1
1.41,1.64,1.411764705882353,1436,0.94,1.11,1.1176470588235294,1398,0
1.88,1.00,2.176470588235294,1648,0.64,1.41,0.7647058823529411,1373,0
