Elo,Pts/Pld,GfA,GaA
2023,2.263157894736842,2.78,1.05
1918,2.05,1.50,0.65
1908,1.8,1.50,1.20
1792,1.65,1.55,1.10
1740,1.6,1.10,1.15
1746,1.55,1.25,0.80
1772,1.3,0.95,0.90
1720,1.368421052631579,1.15,1.21
1733,1.3157894736842106,1.21,1.15
1688,1.263157894736842,1.10,1.21
1700,1.263157894736842,1.10,1.42
1688,1.2105263157894737,1.57,1.84
1665,1.1578947368421053,0.89,1.10
1639,1.1578947368421053,0.89,1.10
1698,1.1578947368421053,1.05,1.31
1708,1.1578947368421053,1.10,1.47
1697,1.05,1.60,1.70
1612,1.0,1.15,1.78
1709,0.8947368421052632,1.05,1.31
1577,0.55,0.85,1.95
