HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
2.04,0.76,2.0,1485,2.30,0.70,2.1,1563,0
1.23,0.90,1.4285714285714286,1279,1.61,1.14,1.8571428571428572,1416,2
1.52,0.95,1.9523809523809523,1380,0.71,1.85,0.5714285714285714,1162,0
1.42,1.04,1.380952380952381,1351,1.23,1.23,1.7142857142857142,1325,2
0.66,2.04,0.6666666666666666,1144,0.95,1.57,1.0,1243,2
0.71,2.19,0.47619047619047616,1157,1.25,1.20,1.7,1321,2
0.71,1.85,0.5714285714285714,1162,1.25,1.20,1.7,1321,2
2.04,0.76,2.0,1485,1.42,1.04,1.380952380952381,1351,1
0.95,1.57,1.0,1243,1.52,0.95,1.9523809523809523,1380,2
1.23,1.23,1.7142857142857142,1325,0.66,2.04,0.6666666666666666,1144,0
0.71,2.19,0.47619047619047616,1157,1.23,0.90,1.4285714285714286,1279,1
1.61,1.14,1.8571428571428572,1416,2.30,0.70,2.1,1563,2
1.25,1.20,1.7,1321,2.04,0.76,2.0,1485,2
0.95,1.57,1.0,1243,0.71,1.85,0.5714285714285714,1162,2
1.42,1.04,1.380952380952381,1351,1.23,0.90,1.4285714285714286,1279,1
0.66,2.04,0.6666666666666666,1144,1.52,0.95,1.9523809523809523,1380,1
2.30,0.70,2.1,1563,0.71,2.19,0.47619047619047616,1157,0
1.61,1.14,1.8571428571428572,1416,1.23,1.23,1.7142857142857142,1325,0
1.42,1.04,1.380952380952381,1351,2.04,0.76,2.0,1485,1
2.30,0.70,2.1,1563,0.95,1.57,1.0,1243,0
1.61,1.14,1.8571428571428572,1416,0.71,2.19,0.47619047619047616,1157,0
2.04,0.76,2.0,1485,0.66,2.04,0.6666666666666666,1144,0
1.42,1.04,1.380952380952381,1351,2.30,0.70,2.1,1563,0
0.71,1.85,0.5714285714285714,1162,1.61,1.14,1.8571428571428572,1416,2
1.25,1.20,1.7,1321,0.95,1.57,1.0,1243,2
1.52,0.95,1.9523809523809523,1380,0.71,2.19,0.47619047619047616,1157,0
1.23,0.90,1.4285714285714286,1279,1.23,1.23,1.7142857142857142,1325,0
1.61,1.14,1.8571428571428572,1416,1.23,0.90,1.4285714285714286,1279,0
0.71,2.19,0.47619047619047616,1157,2.04,0.76,2.0,1485,1
1.23,0.90,1.4285714285714286,1279,0.71,1.85,0.5714285714285714,1162,0
1.23,1.23,1.7142857142857142,1325,0.95,1.57,1.0,1243,0
0.66,2.04,0.6666666666666666,1144,1.42,1.04,1.380952380952381,1351,2
2.30,0.70,2.1,1563,1.52,0.95,1.9523809523809523,1380,0
1.61,1.14,1.8571428571428572,1416,1.25,1.20,1.7,1321,2
1.25,1.20,1.7,1321,1.23,1.23,1.7142857142857142,1325,1
2.04,0.76,2.0,1485,1.61,1.14,1.8571428571428572,1416,2
0.95,1.57,1.0,1243,2.30,0.70,2.1,1563,1
1.52,0.95,1.9523809523809523,1380,1.23,0.90,1.4285714285714286,1279,0
