HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.04,1.33,1.0476190476190477,1518,1.14,0.76,1.8571428571428572,1582,2
0.90,1.00,1.0952380952380953,1481,1.33,1.42,1.0,1475,1
0.95,1.23,1.1428571428571428,1476,0.61,1.61,0.7619047619047619,1437,0
1.14,1.76,0.8571428571428571,1470,0.76,1.23,1.0476190476190477,1448,1
1.04,0.71,1.6666666666666667,1541,1.19,1.00,1.380952380952381,1523,1
0.76,1.28,1.0,1460,1.09,1.28,1.0952380952380953,1510,1
1.14,1.23,1.4285714285714286,1534,0.85,1.19,1.0476190476190477,1513,0
1.23,0.90,1.5714285714285714,1512,1.47,0.80,1.7142857142857142,1604,0
1.33,1.23,1.3333333333333333,1526,1.28,1.14,1.6666666666666667,1571,0
1.42,0.85,1.8571428571428572,1554,0.95,0.85,1.2857142857142858,1559,1
1.33,0.80,1.5714285714285714,1582,1.33,0.66,1.9047619047619047,1586,1
0.76,1.23,1.0476190476190477,1448,1.33,1.23,1.3333333333333333,1526,1
1.09,1.28,1.0952380952380953,1510,1.14,1.23,1.4285714285714286,1534,2
1.28,1.14,1.6666666666666667,1571,1.33,0.80,1.5714285714285714,1582,0
1.14,0.76,1.8571428571428572,1582,0.76,1.28,1.0,1460,2
1.47,0.80,1.7142857142857142,1604,0.90,1.00,1.0952380952380953,1481,1
0.61,1.61,0.7619047619047619,1437,1.14,1.76,0.8571428571428571,1470,0
1.19,1.00,1.380952380952381,1523,1.23,0.90,1.5714285714285714,1512,0
0.95,0.85,1.2857142857142858,1559,1.04,1.33,1.0476190476190477,1518,2
1.33,1.42,1.0,1475,1.04,0.71,1.6666666666666667,1541,0
0.85,1.19,1.0476190476190477,1513,0.95,1.23,1.1428571428571428,1476,0
1.33,0.66,1.9047619047619047,1586,1.42,0.85,1.8571428571428572,1554,1
0.76,1.28,1.0,1460,1.28,1.14,1.6666666666666667,1571,2
1.04,0.71,1.6666666666666667,1541,1.09,1.28,1.0952380952380953,1510,1
1.42,0.85,1.8571428571428572,1554,0.76,1.23,1.0476190476190477,1448,0
1.04,1.33,1.0476190476190477,1518,1.33,1.42,1.0,1475,0
1.14,1.23,1.4285714285714286,1534,1.14,0.76,1.8571428571428572,1582,1
0.90,1.00,1.0952380952380953,1481,0.95,0.85,1.2857142857142858,1559,1
0.95,1.23,1.1428571428571428,1476,1.19,1.00,1.380952380952381,1523,1
1.14,1.76,0.8571428571428571,1470,1.33,1.23,1.3333333333333333,1526,0
1.33,0.80,1.5714285714285714,1582,1.47,0.80,1.7142857142857142,1604,0
0.85,1.19,1.0476190476190477,1513,1.33,0.66,1.9047619047619047,1586,1
1.23,0.90,1.5714285714285714,1512,0.61,1.61,0.7619047619047619,1437,0
0.76,1.23,1.0476190476190477,1448,0.95,1.23,1.1428571428571428,1476,2
1.28,1.14,1.6666666666666667,1571,1.04,0.71,1.6666666666666667,1541,0
1.47,0.80,1.7142857142857142,1604,1.04,1.33,1.0476190476190477,1518,0
1.33,1.23,1.3333333333333333,1526,0.85,1.19,1.0476190476190477,1513,1
1.33,1.42,1.0,1475,0.61,1.61,0.7619047619047619,1437,2
1.19,1.00,1.380952380952381,1523,0.90,1.00,1.0952380952380953,1481,1
0.76,1.28,1.0,1460,1.14,1.76,0.8571428571428571,1470,1
1.09,1.28,1.0952380952380953,1510,1.42,0.85,1.8571428571428572,1554,2
1.33,0.66,1.9047619047619047,1586,1.14,1.23,1.4285714285714286,1534,0
0.95,0.85,1.2857142857142858,1559,1.23,0.90,1.5714285714285714,1512,0
1.14,0.76,1.8571428571428572,1582,1.33,0.80,1.5714285714285714,1582,0
1.04,1.33,1.0476190476190477,1518,1.14,1.76,0.8571428571428571,1470,1
