HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.44,1.38,1.3888888888888888,1479,1.44,1.77,1.0555555555555556,1405,1
1.44,2.33,0.7222222222222222,1332,3.16,1.11,2.7222222222222223,1693,2
1.61,1.83,1.3888888888888888,1449,1.50,1.88,1.2777777777777777,1375,0
2.00,1.50,1.5555555555555556,1458,1.16,1.88,0.9444444444444444,1363,0
1.55,1.66,1.1666666666666667,1446,1.88,1.83,1.6666666666666667,1580,2
1.44,1.77,1.0555555555555556,1405,1.55,1.66,1.1666666666666667,1446,1
1.16,1.88,0.9444444444444444,1363,1.61,1.83,1.3888888888888888,1449,2
1.88,1.83,1.6666666666666667,1580,1.44,1.38,1.3888888888888888,1479,0
3.16,1.11,2.7222222222222223,1693,2.00,1.50,1.5555555555555556,1458,0
1.50,1.88,1.2777777777777777,1375,1.44,2.33,0.7222222222222222,1332,0
1.44,1.38,1.3888888888888888,1479,1.16,1.88,0.9444444444444444,1363,0
1.44,1.77,1.0555555555555556,1405,1.44,2.33,0.7222222222222222,1332,1
1.88,1.83,1.6666666666666667,1580,3.16,1.11,2.7222222222222223,1693,2
2.00,1.50,1.5555555555555556,1458,1.50,1.88,1.2777777777777777,1375,0
1.55,1.66,1.1666666666666667,1446,1.61,1.83,1.3888888888888888,1449,0
1.55,1.66,1.1666666666666667,1446,2.00,1.50,1.5555555555555556,1458,0
1.61,1.83,1.3888888888888888,1449,1.88,1.83,1.6666666666666667,1580,1
1.16,1.88,0.9444444444444444,1363,1.50,1.88,1.2777777777777777,1375,0
3.16,1.11,2.7222222222222223,1693,1.44,1.77,1.0555555555555556,1405,0
1.44,2.33,0.7222222222222222,1332,1.44,1.38,1.3888888888888888,1479,1
1.44,1.38,1.3888888888888888,1479,1.55,1.66,1.1666666666666667,1446,2
1.44,2.33,0.7222222222222222,1332,1.16,1.88,0.9444444444444444,1363,2
1.50,1.88,1.2777777777777777,1375,3.16,1.11,2.7222222222222223,1693,2
2.00,1.50,1.5555555555555556,1458,1.88,1.83,1.6666666666666667,1580,0
1.44,1.77,1.0555555555555556,1405,1.61,1.83,1.3888888888888888,1449,2
1.55,1.66,1.1666666666666667,1446,1.50,1.88,1.2777777777777777,1375,2
1.61,1.83,1.3888888888888888,1449,1.44,1.38,1.3888888888888888,1479,2
1.88,1.83,1.6666666666666667,1580,1.44,1.77,1.0555555555555556,1405,0
2.00,1.50,1.5555555555555556,1458,1.44,2.33,0.7222222222222222,1332,1
1.16,1.88,0.9444444444444444,1363,3.16,1.11,2.7222222222222223,1693,2
1.44,2.33,0.7222222222222222,1332,1.61,1.83,1.3888888888888888,1449,2
1.50,1.88,1.2777777777777777,1375,1.44,1.38,1.3888888888888888,1479,0
1.44,1.77,1.0555555555555556,1405,2.00,1.50,1.5555555555555556,1458,0
3.16,1.11,2.7222222222222223,1693,1.55,1.66,1.1666666666666667,1446,0
1.16,1.88,0.9444444444444444,1363,1.88,1.83,1.6666666666666667,1580,2
1.55,1.66,1.1666666666666667,1446,1.16,1.88,0.9444444444444444,1363,1
1.44,1.77,1.0555555555555556,1405,1.50,1.88,1.2777777777777777,1375,0
1.88,1.83,1.6666666666666667,1580,1.44,2.33,0.7222222222222222,1332,1
1.44,1.38,1.3888888888888888,1479,3.16,1.11,2.7222222222222223,1693,1
1.61,1.83,1.3888888888888888,1449,2.00,1.50,1.5555555555555556,1458,2
1.44,2.33,0.7222222222222222,1332,1.55,1.66,1.1666666666666667,1446,1
2.00,1.50,1.5555555555555556,1458,1.44,1.38,1.3888888888888888,1479,1
1.16,1.88,0.9444444444444444,1363,1.44,1.77,1.0555555555555556,1405,0
3.16,1.11,2.7222222222222223,1693,1.61,1.83,1.3888888888888888,1449,2
1.50,1.88,1.2777777777777777,1375,1.88,1.83,1.6666666666666667,1580,2
